Location,Date,Temperature_F
South Carolina,10/1/2011,61
South Carolina,11/1/2011,55.3
South Carolina,12/1/2011,50.7
South Carolina,1/1/2012,48.3
South Carolina,2/1/2012,50.6
South Carolina,3/1/2012,63.2
South Carolina,4/1/2012,64.2
South Carolina,5/1/2012,72.7
South Carolina,6/1/2012,74.8
South Carolina,7/1/2012,82.8
South Carolina,8/1/2012,78
South Carolina,9/1/2012,73.6
South Carolina,10/1/2012,63.7
South Carolina,11/1/2012,50.7
South Carolina,12/1/2012,51.5
South Carolina,1/1/2013,50.2
South Carolina,2/1/2013,46.6
South Carolina,3/1/2013,48.4
South Carolina,4/1/2013,62.1
South Carolina,5/1/2013,67.9
South Carolina,6/1/2013,77.4
South Carolina,7/1/2013,78.8
South Carolina,8/1/2013,77.4
South Carolina,9/1/2013,73.5
South Carolina,10/1/2013,64.2
South Carolina,11/1/2013,51.5
South Carolina,12/1/2013,49.9
South Carolina,1/1/2014,39.7
South Carolina,2/1/2014,48.2
South Carolina,3/1/2014,50
South Carolina,4/1/2014,63.3
South Carolina,5/1/2014,71.7
South Carolina,6/1/2014,78.4
South Carolina,7/1/2014,79.2
South Carolina,8/1/2014,78.3
South Carolina,9/1/2014,74.3
South Carolina,10/1/2014,65
South Carolina,11/1/2014,49.3
South Carolina,12/1/2014,49.2
South Carolina,1/1/2015,43.8
South Carolina,2/1/2015,41
South Carolina,3/1/2015,56.4
South Carolina,4/1/2015,64.8
South Carolina,5/1/2015,71.6
South Carolina,6/1/2015,80.5
South Carolina,7/1/2015,82.2
South Carolina,8/1/2015,79.5
South Carolina,9/1/2015,74.3
South Carolina,10/1/2015,63.3
South Carolina,11/1/2015,58
South Carolina,12/1/2015,58.5
South Dakota,1/1/2000,21.1
South Dakota,2/1/2000,30.1
South Dakota,3/1/2000,39.3
South Dakota,4/1/2000,45
South Dakota,5/1/2000,58.1
South Dakota,6/1/2000,64.4
South Dakota,7/1/2000,73
South Dakota,8/1/2000,73.2
South Dakota,9/1/2000,62.3
South Dakota,10/1/2000,50.1
South Dakota,11/1/2000,24.4
South Dakota,12/1/2000,10.5
South Dakota,1/1/2001,22.7
South Dakota,2/1/2001,12.4
South Dakota,3/1/2001,29.8
South Dakota,4/1/2001,46.1
South Dakota,5/1/2001,57.8
South Dakota,6/1/2001,66
South Dakota,7/1/2001,74.6
South Dakota,8/1/2001,73.4
South Dakota,9/1/2001,62.1
South Dakota,10/1/2001,47.5
South Dakota,11/1/2001,40.8
South Dakota,12/1/2001,24.7
South Dakota,1/1/2002,24.1
South Dakota,2/1/2002,29.6
South Dakota,3/1/2002,22.2
South Dakota,4/1/2002,44.5
South Dakota,5/1/2002,52.4
South Dakota,6/1/2002,70.4
South Dakota,7/1/2002,77.3
South Dakota,8/1/2002,70.4
South Dakota,9/1/2002,62.7
South Dakota,10/1/2002,39.5
South Dakota,11/1/2002,34.5
South Dakota,12/1/2002,27.3
South Dakota,1/1/2003,19.8
South Dakota,2/1/2003,18.8
South Dakota,3/1/2003,32.1
South Dakota,4/1/2003,47.9
South Dakota,5/1/2003,55
South Dakota,6/1/2003,63.9
South Dakota,7/1/2003,74.4
South Dakota,8/1/2003,74.8
South Dakota,9/1/2003,60
South Dakota,10/1/2003,51.8
South Dakota,11/1/2003,27.6
South Dakota,12/1/2003,26.6
South Dakota,1/1/2004,16.1
South Dakota,2/1/2004,22.9
South Dakota,3/1/2004,38.4
South Dakota,4/1/2004,47.9
South Dakota,5/1/2004,55.6
South Dakota,6/1/2004,62.1
South Dakota,7/1/2004,70.8
South Dakota,8/1/2004,66.1
South Dakota,9/1/2004,63
South Dakota,10/1/2004,48.8
South Dakota,11/1/2004,36.6
South Dakota,12/1/2004,27.2
